Name,Price,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Brand,Model
Renault Kwid RXT,3.59,8,20,Petrol,Manual,1,5,Renault,Kwid RXT
Maruti Suzuki Alto 800 VXI,3.79,4,22,Petrol,Manual,1,5,Maruti,Suzuki Alto 800 VXI
Maruti Suzuki Alto K10 VXI AMT ,3.99,7,40,Petrol,Automatic,1,5,Maruti,Suzuki Alto K10 VXI AMT
Hyundai i10 Magna 1.2 Petrol,3.09,11,118,Petrol,Manual,1,5,Hyundai,i10 Magna 1.2 Petrol
Datsun Redi-GO S 1.0,3.21,6,33,Petrol,Manual,1,5,Datsun,Redi-GO S 1.0
Honda Brio S MT,2.98,12,103,Petrol,Manual,1,5,Honda,Brio S MT
Renault Kwid RXL,3.29,8,37,Petrol,Manual,1,5,Renault,Kwid RXL
Honda Jazz V CVT,5.49,8,119,Petrol,Automatic,1,5,Honda,Jazz V CVT
Toyota Etios Liva G,3.45,13,53,Petrol,Manual,1,5,Toyota,Etios Liva G
Maruti Suzuki Alto 800 LXI,3.49,5,14,Petrol,Manual,1,5,Maruti,Suzuki Alto 800 LXI
Datsun GO T,3.05,7,60,Petrol,Manual,2,5,Datsun,GO T
Hyundai Elite i20 Asta 1.2,5.97,9,51,Petrol,Manual,1,5,Hyundai,Elite i20 Asta 1.2
Maruti Suzuki Alto 800 VXI,4.09,3,17,Petrol,Manual,1,5,Maruti,Suzuki Alto 800 VXI
Maruti Suzuki A-Star VXIB,2.39,13,94,Petrol,Manual,1,5,Maruti,Suzuki A-Star VXIB
Maruti Suzuki Wagon R 1.0 VXI AMT,4.48,8,55,Petrol,Manual,1,5,Maruti,Suzuki Wagon R 1.0 VXI AMT
Renault Kwid RXT,3.24,8,65,Petrol,Manual,1,5,Renault,Kwid RXT
Renault ,3.37,7,47,Petrol,Manual,2,5,Renault,
Ford Figo Duratorq Diesel EXI 1.4,2.68,12,63,Diesel,Manual,1,5,Ford,Figo Duratorq Diesel EXI 1.4
